     up,  right,   down,   left,   code, char, description
  light,  light, double, double, U+253c,    ┼, box drawings light vertical and horizontal
  light,  heavy,       ,       , U+2515,    ┕, box drawings up light and right heavy
  light,  heavy,       ,  light, U+2536,    ┶, box drawings right heavy and left up light
  light,  heavy,       ,  heavy, U+2537,    ┷, box drawings up light and horizontal heavy
  light,  heavy,       , double, U+2534,    ┴, box drawings light up and horizontal
  light,  heavy,  light,       , U+251d,    ┝, box drawings vertical light and right heavy
  light,  heavy,  light,  light, U+253e,    ┾, box drawings right heavy and left vertical light
  light,  heavy,  light,  heavy, U+253f,    ┿, box drawings vertical light and horizontal heavy
  light,  heavy,  light, double, U+253c,    ┼, box drawings light vertical and horizontal
  light,  heavy,  heavy,       , U+2522,    ┢, box drawings up light and right down heavy
  light,  heavy,  heavy,  light, U+2546,    ╆, box drawings right down heavy and left up light
  light,  heavy,  heavy,  heavy, U+2548,    ╈, box drawings up light and down horizontal heavy
  light,  heavy,  heavy, double, U+253c,    ┼, box drawings light vertical and horizontal
  light,  heavy, double,       , U+251c,    ├, box drawings light vertical and right
  light,  heavy, double,  light, U+253c,    ┼, box drawings light vertical and horizontal
  light,  heavy, double,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
  light,  heavy, double, double, U+253c,    ┼, box drawings light vertical and horizontal
  light, double,       ,       , U+2558,    ╘, box drawings up single and right double
  light, double,       ,  light, U+2534,    ┴, box drawings light up and horizontal
  light, double,       ,  heavy, U+2534,    ┴, box drawings light up and horizontal
  light, double,       , double, U+2567,    ╧, box drawings up single and horizontal double
  light, double,  light,       , U+255e,    ╞, box drawings vertical single and right double
  light, double,  light,  light, U+253c,    ┼, box drawings light vertical and horizontal
  light, double,  light,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
  light, double,  light, double, U+256a,    ╪, box drawings vertical single and horizontal double
  light, double,  heavy,       , U+251c,    ├, box drawings light vertical and right
  light, double,  heavy,  light, U+253c,    ┼, box drawings light vertical and horizontal
  light, double,  heavy,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
  light, double,  heavy, double, U+253c,    ┼, box drawings light vertical and horizontal
  light, double, double,       , U+2560,    ╠, box drawings double vertical and right
  light, double, double,  light, U+253c,    ┼, box drawings light vertical and horizontal
  light, double, double,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
  light, double, double, double, U+256c,    ╬, box drawings double vertical and horizontal
  heavy,       ,       ,       , U+2579,    ╹, box drawings heavy up
  heavy,       ,       ,  light, U+251a,    ┚, box drawings up heavy and left light
  heavy,       ,       ,  heavy, U+251b,    ┛, box drawings heavy up and left
  heavy,       ,       , double, U+251b,    ┛, box drawings heavy up and left
  heavy,       ,  light,       , U+257f,    ╿, box drawings heavy up and light down
  heavy,       ,  light,  light, U+2526,    ┦, box drawings up heavy and left down light
  heavy,       ,  light,  heavy, U+2529,    ┩, box drawings down light and left up heavy
  heavy,       ,  light, double, U+2524,    ┤, box drawings light vertical and left
  heavy,       ,  heavy,       , U+2503,    ┃, box drawings heavy vertical
  heavy,       ,  heavy,  light, U+2528,    ┨, box drawings vertical heavy and left light
  heavy,       ,  heavy,  heavy, U+252b,    ┫, box drawings heavy vertical and left
  heavy,       ,  heavy, double, U+252b,    ┫, box drawings heavy vertical and left
  heavy,       , double,       , U+2503,    ┃, box drawings heavy vertical
  heavy,       , double,  light, U+2524,    ┤, box drawings light vertical and left
  heavy,       , double,  heavy, U+252b,    ┫, box drawings heavy vertical and left
  heavy,       , double, double, U+2563,    ╣, box drawings double vertical and left
  heavy,  light,       ,       , U+2516,    ┖, box drawings up heavy and right light
  heavy,  light,       ,  light, U+2538,    ┸, box drawings up heavy and horizontal light
  heavy,  light,       ,  heavy, U+2539,    ┹, box drawings right light and left up heavy
  heavy,  light,       , double, U+2534,    ┴, box drawings light up and horizontal
  heavy,  light,  light,       , U+251e,    ┞, box drawings up heavy and right down light
  heavy,  light,  light,  light, U+2540,    ╀, box drawings up heavy and down horizontal light
  heavy,  light,  light,  heavy, U+2543,    ╃, box drawings left up heavy and right down light
  heavy,  light,  light, double, U+253c,    ┼, box drawings light vertical and horizontal
  heavy,  light,  heavy,       , U+2520,    ┠, box drawings vertical heavy and right light
  heavy,  light,  heavy,  light, U+2542,    ╂, box drawings vertical heavy and horizontal light
  heavy,  light,  heavy,  heavy, U+2549,    ╉, box drawings right light and left vertical heavy
  heavy,  light,  heavy, double, U+253c,    ┼, box drawings light vertical and horizontal
  heavy,  light, double,       , U+251c,    ├, box drawings light vertical and right
  heavy,  light, double,  light, U+253c,    ┼, box drawings light vertical and horizontal
  heavy,  light, double,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
  heavy,  light, double, double, U+253c,    ┼, box drawings light vertical and horizontal
  heavy,  heavy,       ,       , U+2517,    ┗, box drawings heavy up and right
  heavy,  heavy,       ,  light, U+253a,    ┺, box drawings left light and right up heavy
  heavy,  heavy,       ,  heavy, U+253b,    ┻, box drawings heavy up and horizontal
  heavy,  heavy,       , double, U+253b,    ┻, box drawings heavy up and horizontal
  heavy,  heavy,  light,       , U+2521,    ┡, box drawings down light and right up heavy
  heavy,  heavy,  light,  light, U+2544,    ╄, box drawings right up heavy and left down light
  heavy,  heavy,  light,  heavy, U+2547,    ╇, box drawings down light and up horizontal heavy
  heavy,  heavy,  light, double, U+253c,    ┼, box drawings light vertical and horizontal
  heavy,  heavy,  heavy,       , U+2523,    ┣, box drawings heavy vertical and right
  heavy,  heavy,  heavy,  light, U+254a,    ╊, box drawings left light and right vertical heavy
  heavy,  heavy,  heavy,  heavy, U+254b,    ╋, box drawings heavy vertical and horizontal
  heavy,  heavy,  heavy, double, U+254b,    ╋, box drawings heavy vertical and horizontal
  heavy,  heavy, double,       , U+2523,    ┣, box drawings heavy vertical and right
  heavy,  heavy, double,  light, U+253c,    ┼, box drawings light vertical and horizontal
  heavy,  heavy, double,  heavy, U+254b,    ╋, box drawings heavy vertical and horizontal
  heavy,  heavy, double, double, U+254b,    ╋, box drawings heavy vertical and horizontal
  heavy, double,       ,       , U+2517,    ┗, box drawings heavy up and right
  heavy, double,       ,  light, U+2534,    ┴, box drawings light up and horizontal
  heavy, double,       ,  heavy, U+253b,    ┻, box drawings heavy up and horizontal
  heavy, double,       , double, U+2569,    ╩, box drawings double up and horizontal
  heavy, double,  light,       , U+251c,    ├, box drawings light vertical and right
  heavy, double,  light,  light, U+253c,    ┼, box drawings light vertical and horizontal
  heavy, double,  light,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
  heavy, double,  light, double, U+253c,    ┼, box drawings light vertical and horizontal
  heavy, double,  heavy,       , U+2523,    ┣, box drawings heavy vertical and right
  heavy, double,  heavy,  light, U+253c,    ┼, box drawings light vertical and horizontal
  heavy, double,  heavy,  heavy, U+254b,    ╋, box drawings heavy vertical and horizontal
  heavy, double,  heavy, double, U+254b,    ╋, box drawings heavy vertical and horizontal
  heavy, double, double,       , U+2560,    ╠, box drawings double vertical and right
  heavy, double, double,  light, U+253c,    ┼, box drawings light vertical and horizontal
  heavy, double, double,  heavy, U+254b,    ╋, box drawings heavy vertical and horizontal
  heavy, double, double, double, U+256c,    ╬, box drawings double vertical and horizontal
 double,       ,       ,       , U+2551,    ║, box drawings double vertical
 double,       ,       ,  light, U+255c,    ╜, box drawings up double and left single
 double,       ,       ,  heavy, U+251b,    ┛, box drawings heavy up and left
 double,       ,       , double, U+255d,    ╝, box drawings double up and left
 double,       ,  light,       , U+2502,    │, box drawings light vertical
 double,       ,  light,  light, U+2524,    ┤, box drawings light vertical and left
 double,       ,  light,  heavy, U+2524,    ┤, box drawings light vertical and left
 double,       ,  light, double, U+2563,    ╣, box drawings double vertical and left
 double,       ,  heavy,       , U+2503,    ┃, box drawings heavy vertical
 double,       ,  heavy,  light, U+2524,    ┤, box drawings light vertical and left
 double,       ,  heavy,  heavy, U+252b,    ┫, box drawings heavy vertical and left
 double,       ,  heavy, double, U+2563,    ╣, box drawings double vertical and left
 double,       , double,       , U+2551,    ║, box drawings double vertical
 double,       , double,  light, U+2562,    ╢, box drawings vertical double and left single
 double,       , double,  heavy, U+2563,    ╣, box drawings double vertical and left
 double,       , double, double, U+2563,    ╣, box drawings double vertical and left
 double,  light,       ,       , U+2559,    ╙, box drawings up double and right single
 double,  light,       ,  light, U+2568,    ╨, box drawings up double and horizontal single
 double,  light,       ,  heavy, U+2534,    ┴, box drawings light up and horizontal
 double,  light,       , double, U+2569,    ╩, box drawings double up and horizontal
 double,  light,  light,       , U+251c,    ├, box drawings light vertical and right
 double,  light,  light,  light, U+253c,    ┼, box drawings light vertical and horizontal
 double,  light,  light,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
 double,  light,  light, double, U+253c,    ┼, box drawings light vertical and horizontal
 double,  light,  heavy,       , U+251c,    ├, box drawings light vertical and right
 double,  light,  heavy,  light, U+253c,    ┼, box drawings light vertical and horizontal
 double,  light,  heavy,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
 double,  light,  heavy, double, U+253c,    ┼, box drawings light vertical and horizontal
 double,  light, double,       , U+255f,    ╟, box drawings vertical double and right single
 double,  light, double,  light, U+256b,    ╫, box drawings vertical double and horizontal single
 double,  light, double,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
 double,  light, double, double, U+256c,    ╬, box drawings double vertical and horizontal
 double,  heavy,       ,       , U+2517,    ┗, box drawings heavy up and right
 double,  heavy,       ,  light, U+2534,    ┴, box drawings light up and horizontal
 double,  heavy,       ,  heavy, U+253b,    ┻, box drawings heavy up and horizontal
 double,  heavy,       , double, U+2569,    ╩, box drawings double up and horizontal
 double,  heavy,  light,       , U+251c,    ├, box drawings light vertical and right
 double,  heavy,  light,  light, U+253c,    ┼, box drawings light vertical and horizontal
 double,  heavy,  light,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
 double,  heavy,  light, double, U+253c,    ┼, box drawings light vertical and horizontal
 double,  heavy,  heavy,       , U+2523,    ┣, box drawings heavy vertical and right
 double,  heavy,  heavy,  light, U+253c,    ┼, box drawings light vertical and horizontal
 double,  heavy,  heavy,  heavy, U+254b,    ╋, box drawings heavy vertical and horizontal
 double,  heavy,  heavy, double, U+254b,    ╋, box drawings heavy vertical and horizontal
 double,  heavy, double,       , U+2560,    ╠, box drawings double vertical and right
 double,  heavy, double,  light, U+253c,    ┼, box drawings light vertical and horizontal
 double,  heavy, double,  heavy, U+254b,    ╋, box drawings heavy vertical and horizontal
 double,  heavy, double, double, U+256c,    ╬, box drawings double vertical and horizontal
 double, double,       ,       , U+255a,    ╚, box drawings double up and right
